ratings,comments
5,Excellent product Thanks Flipkart  
5,Nice and comfortable  
5,The quality and design is very good. Value for Money.  I will recommend you to purchase this watch.  
5,Looking so beautiful ❤️  
1,Worst experience ever  
4,Nice watch n i really like it..  
5,Just got delivered today it is just a classy watch.  
5,Very nice 👍 watch. Premium look.  My wrist circumference is aprox 20CM and it fits suitably.  My advice:if some has wrist more than 20cm then it will be tight. No option to increase the band length.  Otherwise a VFM product.  
5,"it's good and perfect watch.  Recommended, go for it. Delivery on time as well. Thanks!  "
5,"The watch is of original fossil and I registered it in official website,(fossilcare)  I'm happy for my watch and it's price.  "
5,After almost 3 years of usage still looks new. Still stealing eyes. Recommended.  
5,Beautiful watch.. looks elegant.  
5,My man loved it 😍  
5,Best in class.  
4,The watch is nice...same as it looks in the pic...the inner dials work..but not very useful as 2 are for stop watch...so unless u are planning to run ..figure out where to use them. One more thing the watch is very thick..so make sure you are ok to have a thick and heavy watch...other wise it is original fossil so quality is assured  
5,Thank you flipkart for such a beautiful piece at a very low price... I gifted this to my bf he liked it very much I m so happy 😘😘😘😘  
5,I gifted to my husband... n he is jus falling love wid dis... dis is an amazing watch... thank u flipkart..  
4,nice product chronograph settings little bit bad  
5,Just ordered my Crush...i have read the reviews and that has made my love more stronger for this masterpiece.  eagerly waiting for this  and will post further review after using this and i am sure that will be excellent.  
5,Bought it for my hubby on our special day..... just loved the style............. :-)  A must buy..........  
4,Look is so sick !  I bought it for 3899 it was worth  The sub two buttons it is very hard to press  Watch is little bit heavier  The design is impressive  Quality is ok  This is my first impression  
5,super watch. best quality at this price range. thanks to fossil India.  
4,The Best You Have Ever Get In This Price Range  The Brand is Fossil  The Look of The Watch Way Better In Real Life  It is Stylish In Light And Elegant In Dark  The Perfect Watch👍👍👍  Go ahead and buy this product  it's just amazing  
5,it's beautiful ... my hubby like it too much  
1,"The watch was bought in December, 2016. Today (01.11.2017) morning I noticed that the dial glass has become semi-transparant with water vapour. How is it possible! The water resistant mark of the watch is 100M. Moreover, the watch has never come into contact with water. Just the weather was foggy and somewhat cold. I think the negetive reviews regarding the originality of the watch are 100% true. I bought the watch from flipkart assured store.  "
5,I really don't have craziness for watches and I'm not a person who shows interest in such stuffs. But I just wanted to say how much I love this watch. I always love Flipkart than others because of their respect and hasteness for their genuine customers in view of delivery and safety.  Appearance-This watch by look is so attractive and many people hold my hand for a second to see what I am wearing which never happened before. Such an attractive watch.  Next the brand - Fossil. This is my first...  
5,I already own a Fossil FS4552 Black one .. But this one caught my attention and I couldn’t resist myself. Got this during an offer period. This is an outstanding watch by such a renowned Brand Fossil that too in such price segment. The hands glow in the dark which catches attention too. Go for it.  #FossilStyle  
4,Nice price good watch  
5,Excellent product worth for money!!  
1,looks great. the watch stopped working so thought it needs cell replacement. but it isn't working even with a new cell. have requested a refund  
5,NICE WATCH IN  THE PRICE RANGE  GOOD DESIGN.  VERY WELL BUILT.  OVERALL GOOD DEAL...  IF YOU LIKE IT...  DON'T HESITATE JUST GO FOR IT...  
3,"First of all i will explain the cons  1. The dial feels very plain when we look into it. Although there is 3 inner dials and enough metal parts these parts are not chrome. The blue color is good but overall the dial doesnot feel classy.  2. The watch is very heavy, you will feel 1/4kg watch hanging on your hand. Usually things which has weight some how gives a feeling of rigid construction, but here it is not like that.  3. The chain doesn't look like of top quality. The sheet metal lamination i...  "
1,Not a good experience with buying watches online that too flipkart assured product. I purchased titan octane that product i returned back as thr was some technical problem in that watch. Then i purchased this watch. Again same problem it stopped working at all after some days. I took it to nearest vendor and showed him online bills and blank warranty card which is supposed to be sealed and stamped by the vendor. That document was. Finally it took me Rs 950 to get it repaired. Not recommended ...  
5,Perfect for boys who would like large dials .. way too sexyyy ... just go for it boys... bought it for 3.8K .. delivered within 24 hours .. ??  
5,"you wont feel it, untill you buy it.., Was waiting from many months to buy this sexy, but you guyz made it happen.. worth! TQ  "
4,The watch is beautiful. I really needed it and it gives a really good look. The packing was pure trash. It was like unacceptable. The watch was almost out of the inner box.  
4,Worth for money..... Nice product......  
4,Nice formal watch .  
4,Its really nice..  
5,One of the best purchases I have ever made on flipkart. Looks both classic and stylish at the same time.  
4,very good product. 👍  
5,"Fabulous 😍😘✌️ very nice watch😍 very nice in looking, dail size is medium, belt also good quality and long.  "
5,Looks great & top notch quality.  Got the dilevery today.... Let's see how it performs..  
5,Just love it  
4,Osammm product tq soo much flipcart  
5,😎Premium quality watch....l  
5,Extraordinary product with a classy look. The strap may fall short for those who do wrist workouts. Genuinely loved this product.  
5,Satisfied  
